DATE	DPIC96	GPDIC1	PCECC96
1947-01-01	1312.272	222.679	1199.413
1947-04-01	1297.389	205.623	1219.329
1947-07-01	1330.650	199.573	1223.266
1947-10-01	1311.500	238.192	1223.649
1948-01-01	1337.346	262.632	1229.757
1948-04-01	1379.140	278.885	1244.060
1948-07-01	1401.680	281.741	1245.894
1948-10-01	1409.521	268.267	1255.835
1949-01-01	1381.840	228.041	1257.870
1949-04-01	1388.593	197.725	1277.136
1949-07-01	1397.454	214.117	1280.030
1949-10-01	1405.357	203.585	1298.778
1950-01-01	1513.748	251.917	1320.391
1950-04-01	1509.160	278.877	1342.114
1950-07-01	1528.085	302.850	1410.954
1950-10-01	1537.490	341.332	1368.416
1951-01-01	1539.262	306.454	1401.484
1951-04-01	1573.537	313.558	1361.885
1951-07-01	1591.399	290.470	1377.727
1951-10-01	1588.533	267.326	1385.761
1952-01-01	1587.714	274.301	1388.853
1952-04-01	1607.784	253.621	1416.125
1952-07-01	1640.181	267.217	1423.010
1952-10-01	1675.391	286.467	1473.263
1953-01-01	1695.775	292.632	1490.814
1953-04-01	1717.884	294.299	1499.827
1953-07-01	1709.703	288.145	1496.320
1953-10-01	1703.955	267.328	1486.391
1954-01-01	1712.685	265.414	1491.828
1954-04-01	1714.307	264.787	1511.285
1954-07-01	1732.491	277.560	1531.792
1954-10-01	1765.692	289.723	1563.950
1955-01-01	1794.461	318.651	1599.061
1955-04-01	1833.964	337.941	1629.682
1955-07-01	1867.718	343.122	1649.807
1955-10-01	1889.488	351.080	1670.505
1956-01-01	1908.957	341.063	1673.234
1956-04-01	1927.051	338.385	1678.808
1956-07-01	1936.904	335.358	1682.600
1956-10-01	1966.290	332.248	1705.751
1957-01-01	1972.132	327.088	1717.525
1957-04-01	1985.982	326.755	1720.527
1957-07-01	1996.780	334.246	1734.116
1957-10-01	1984.865	308.547	1734.863
1958-01-01	1969.849	287.700	1711.050
1958-04-01	1982.993	281.906	1725.120
1958-07-01	2022.925	303.543	1753.536
1958-10-01	2047.586	329.424	1777.092
1959-01-01	2065.016	347.373	1809.422
1959-04-01	2097.982	374.394	1837.338
1959-07-01	2095.120	350.215	1856.508
1959-10-01	2110.144	361.612	1858.602
1960-01-01	2135.238	397.964	1876.347
1960-04-01	2148.635	360.873	1900.059
1960-07-01	2152.356	359.955	1892.452
1960-10-01	2151.518	320.079	1894.944
1961-01-01	2172.363	328.386	1894.409
1961-04-01	2205.503	351.395	1922.639
1961-07-01	2234.815	378.713	1931.998
1961-10-01	2277.906	384.980	1970.746
1962-01-01	2299.653	405.737	1991.679
1962-04-01	2323.864	402.536	2016.143
1962-07-01	2336.029	409.376	2032.474
1962-10-01	2356.592	397.400	2061.298
1963-01-01	2376.762	418.307	2075.231
1963-04-01	2398.911	424.962	2095.103
1963-07-01	2425.356	438.047	2123.670
1963-10-01	2465.003	443.366	2141.367
1964-01-01	2513.370	459.958	2183.579
1964-04-01	2580.878	458.301	2221.988
1964-07-01	2614.217	468.997	2262.827
1964-10-01	2643.856	473.452	2269.204
1965-01-01	2674.964	518.593	2319.788
1965-04-01	2705.305	519.955	2345.506
1965-07-01	2779.451	538.059	2385.882
1965-10-01	2835.449	541.622	2452.942
1966-01-01	2863.540	584.895	2489.058
1966-04-01	2870.907	576.237	2495.352
1966-07-01	2905.938	571.985	2523.762
1966-10-01	2939.564	575.338	2534.175
1967-01-01	2983.437	561.218	2548.938
1967-04-01	3006.775	540.914	2583.711
1967-07-01	3035.087	556.775	2596.869
1967-10-01	3057.059	568.785	2612.707
1968-01-01	3109.332	580.189	2674.805
1968-04-01	3161.213	602.381	2715.617
1968-07-01	3168.870	585.953	2766.569
1968-10-01	3190.475	592.327	2779.118
1969-01-01	3197.022	627.207	2810.218
1969-04-01	3232.163	623.511	2828.202
1969-07-01	3300.615	636.170	2841.911
1969-10-01	3326.458	605.453	2864.641
1970-01-01	3358.951	587.395	2882.328
1970-04-01	3398.517	588.671	2895.610
1970-07-01	3451.660	598.252	2921.057
1970-10-01	3442.941	566.489	2913.131
1971-01-01	3511.986	632.533	2968.902
1971-04-01	3563.227	650.482	2996.124
1971-07-01	3582.192	658.374	3020.036
1971-10-01	3623.955	640.645	3070.230
1972-01-01	3640.627	682.859	3110.801
1972-04-01	3677.764	721.647	3170.159
1972-07-01	3748.494	731.894	3219.095
1972-10-01	3897.247	736.484	3294.606
1973-01-01	3924.912	779.645	3354.764
1973-04-01	3956.225	812.878	3353.357
1973-07-01	3973.401	783.403	3365.331
1973-10-01	4017.065	811.308	3355.493
1974-01-01	3950.863	764.976	3326.205
1974-04-01	3913.970	761.923	3337.864
1974-07-01	3917.747	722.434	3351.624
1974-10-01	3912.896	726.819	3302.477
1975-01-01	3906.525	609.744	3330.127
1975-04-01	4087.848	591.591	3385.744
1975-07-01	4028.445	637.454	3434.088
1975-10-01	4059.234	655.247	3470.491
1976-01-01	4106.855	718.469	3539.873
1976-04-01	4128.179	746.906	3572.443
1976-07-01	4158.585	749.510	3610.329
1976-10-01	4183.351	755.119	3657.456
1977-01-01	4182.065	790.107	3699.293
1977-04-01	4234.187	846.752	3719.733
1977-07-01	4298.960	889.601	3755.186
1977-10-01	4382.061	867.284	3811.769
1978-01-01	4413.034	884.186	3833.825
1978-04-01	4456.647	941.615	3915.624
1978-07-01	4488.809	969.053	3932.010
1978-10-01	4524.156	991.471	3963.521
1979-01-01	4572.250	993.130	3983.600
1979-04-01	4532.798	992.232	3981.260
1979-07-01	4554.249	975.505	4020.445
1979-10-01	4574.296	958.170	4031.201
1980-01-01	4589.782	951.572	4025.022
1980-04-01	4523.112	870.674	3934.457
1980-07-01	4578.310	813.266	3976.886
1980-10-01	4668.149	889.175	4029.603
1981-01-01	4655.623	971.650	4050.795
1981-04-01	4654.522	931.326	4050.084
1981-07-01	4749.775	983.540	4066.357
1981-10-01	4759.131	948.409	4035.868
1982-01-01	4764.829	854.889	4062.612
1982-04-01	4792.296	853.798	4077.615
1982-07-01	4817.994	845.737	4109.139
1982-10-01	4839.681	780.325	4184.099
1983-01-01	4881.255	807.499	4224.779
1983-04-01	4915.894	879.120	4308.404
1983-07-01	4990.052	934.228	4383.986
1983-10-01	5097.616	1025.130	4453.143
1984-01-01	5201.785	1124.157	4490.873
1984-04-01	5288.251	1160.680	4554.915
1984-07-01	5360.803	1185.779	4589.925
1984-10-01	5404.946	1170.394	4650.604
1985-01-01	5392.014	1138.315	4729.657
1985-04-01	5495.811	1157.711	4774.074
1985-07-01	5477.363	1149.823	4865.752
1985-10-01	5540.314	1192.204	4878.252
1986-01-01	5609.368	1191.852	4919.629
1986-04-01	5683.877	1171.042	4974.634
1986-07-01	5724.107	1139.541	5064.698
1986-10-01	5734.376	1142.952	5097.123
1987-01-01	5781.630	1173.798	5097.889
1987-04-01	5725.536	1174.410	5168.611
1987-07-01	5829.572	1174.583	5228.524
1987-10-01	5907.511	1254.617	5239.482
1988-01-01	5993.682	1194.399	5332.664
1988-04-01	6055.212	1222.857	5371.790
1988-07-01	6113.536	1229.659	5417.666
1988-10-01	6172.581	1248.440	5479.699
1989-01-01	6248.817	1290.679	5504.973
1989-04-01	6230.363	1278.291	5530.918
1989-07-01	6272.845	1266.941	5585.851
1989-10-01	6323.241	1257.676	5610.530
1990-01-01	6376.468	1269.982	5658.687
1990-04-01	6414.640	1270.441	5676.423
1990-07-01	6417.037	1245.648	5699.300
1990-10-01	6366.168	1176.268	5656.174
1991-01-01	6379.730	1137.137	5636.708
1991-04-01	6423.863	1137.211	5684.016
1991-07-01	6447.210	1159.826	5711.641
1991-10-01	6502.332	1200.972	5710.052
1992-01-01	6641.922	1178.889	5817.316
1992-04-01	6711.357	1245.738	5857.169
1992-07-01	6740.671	1255.778	5920.598
1992-10-01	6763.811	1294.229	5991.057
1993-01-01	6801.742	1324.609	6013.833
1993-04-01	6813.697	1332.119	6067.801
1993-07-01	6817.701	1323.144	6134.756
1993-10-01	6862.515	1392.540	6189.096
1994-01-01	6910.602	1446.244	6260.054
1994-04-01	6983.806	1517.130	6308.615
1994-07-01	7025.314	1492.158	6357.469
1994-10-01	7122.963	1553.518	6425.929
1995-01-01	7190.901	1570.273	6442.942
1995-04-01	7207.255	1537.736	6500.691
1995-07-01	7271.651	1528.614	6560.332
1995-10-01	7313.742	1566.652	6606.361
1996-01-01	7383.717	1590.623	6667.696
1996-04-01	7454.301	1667.682	6740.080
1996-07-01	7513.727	1744.489	6780.698
1996-10-01	7552.887	1743.944	6833.958
1997-01-01	7628.691	1781.576	6906.064
1997-04-01	7693.917	1879.966	6937.418
1997-07-01	7785.460	1913.623	7056.142
1997-10-01	7897.061	1940.730	7139.909
1998-01-01	8065.328	2027.137	7213.553
1998-04-01	8178.007	2013.441	7340.989
1998-07-01	8261.362	2067.218	7437.539
1998-10-01	8328.480	2125.530	7546.837
1999-01-01	8403.080	2186.065	7618.691
1999-04-01	8423.895	2188.002	7731.528
1999-07-01	8480.303	2242.786	7819.273
1999-10-01	8605.081	2308.637	7934.144
2000-01-01	8774.569	2287.827	8054.859
2000-04-01	8865.621	2424.549	8132.194
2000-07-01	8969.157	2394.141	8211.276
2000-10-01	8999.501	2395.566	8284.400
2001-01-01	9076.223	2285.261	8319.403
2001-04-01	9068.234	2277.059	8340.761
2001-07-01	9282.636	2236.591	8371.247
2001-10-01	9167.785	2126.879	8499.132
2002-01-01	9390.812	2202.776	8524.579
2002-04-01	9438.448	2224.915	8568.126
2002-07-01	9426.253	2224.612	8628.043
2002-10-01	9471.610	2220.654	8674.353
2003-01-01	9498.000	2239.474	8712.527
2003-04-01	9635.544	2251.283	8809.507
2003-07-01	9793.433	2330.890	8939.387
2003-10-01	9833.026	2413.141	9008.815
2004-01-01	9904.677	2414.528	9096.415
2004-04-01	10002.264	2500.867	9155.468
2004-07-01	10054.941	2539.376	9243.002
2004-10-01	10180.633	2590.616	9337.837
2005-01-01	10082.492	2664.359	9409.222
2005-04-01	10162.278	2630.506	9511.451
2005-07-01	10214.447	2657.863	9585.233
2005-10-01	10298.739	2737.639	9621.339
2006-01-01	10533.962	2773.826	9729.225
2006-04-01	10549.798	2755.714	9781.025
2006-07-01	10579.888	2727.600	9838.106
2006-10-01	10718.365	2663.030	9938.409
2007-01-01	10788.663	2638.528	9990.657
2007-04-01	10809.538	2674.700	10024.604
2007-07-01	10837.871	2658.118	10069.158
2007-10-01	10846.991	2605.210	10081.798
2008-01-01	10925.264	2517.473	10060.966
2008-04-01	11155.661	2472.623	10077.940
2008-07-01	10899.245	2403.773	10005.097
2008-10-01	10969.231	2190.041	9884.724
2009-01-01	10948.502	1937.678	9850.832
2009-04-01	11026.432	1820.549	9806.377
2009-07-01	10905.429	1804.679	9865.864
2009-10-01	10891.014	1949.553	9864.805
